Kinematic Variable,DatScan Variable,Pearson Correlation,P-value,N
stdamplitude,Contralateral_Caudate_new,-0.5026629360080938,2.6907598269609504e-05,63
cvspeed,Contralateral_Caudate_new,-0.49066860531139034,4.4541232058952443e-05,63
stdamplitude,Contralateral_Striatum_new,-0.4825092422790122,6.209575506072989e-05,63
stdamplitude,Contralateral_Caudate_Z,-0.4717423011996291,9.505512466682744e-05,63
stdamplitude,Contralateral_Putamen_new,-0.4685017529783146,0.00010775428138980894,63
cvspeed,Contralateral_Striatum_new,-0.4631714365007235,0.0001320797983340483,63
cvclosingspeed,Contralateral_Caudate_new,-0.4622785340751331,0.0001366165496737453,63
stdamplitude,Contralateral_Striatum_old,-0.551603777815919,0.00018535381377455108,41
cvspeed,Contralateral_Putamen_new,-0.4450508766435032,0.0002574721326700705,63
cvspeed,Contralateral_Caudate_Z,-0.4414207057259909,0.0002930133573413331,63
stdamplitude,Contralateral_Striatum_Z,-0.4377896698942768,0.0003329924535660571,63
cvclosingspeed,Contralateral_Striatum_new,-0.43702432747379655,0.00034202948875458676,63
cvrmsvelocity,Contralateral_Caudate_new,-0.4285929633711486,0.0004574892386964469,63
cvamplitude,Contralateral_Caudate_new,-0.4266697217706372,0.0004883585828480974,63
stdamplitude,Contralateral_Putamen_Z,-0.41974482383801714,0.0006158395470801974,63
cvclosingspeed,Contralateral_Putamen_new,-0.4173257889965982,0.0006670400965875849,63
cvrmsvelocity,Contralateral_Caudate_Z,-0.4123057744021604,0.0007857976647844591,63
cvrmsvelocity,Contralateral_Striatum_new,-0.4077177443701184,0.0009107329682599163,63
cvclosingspeed,Contralateral_Caudate_Z,-0.4063673765927431,0.0009507789206699065,63
cvamplitude,Contralateral_Striatum_new,-0.4022596309155081,0.00108256238110174,63
cvspeed,Contralateral_Striatum_Z,-0.40020058168139605,0.0011546305125259564,63
cvrmsvelocity,Contralateral_Putamen_new,-0.39434310602702943,0.001383889862712533,63
cvamplitude,Contralateral_Putamen_new,-0.3850481262137869,0.0018324557092459068,63
cvrmsvelocity,Contralateral_Striatum_Z,-0.3793376768059512,0.0021688029608963677,63
cvspeed,Contralateral_Putamen_Z,-0.37639831326774076,0.0023625921180924657,63
cvclosingspeed,Contralateral_Striatum_Z,-0.37085082759904825,0.0027708812015697086,63
cvamplitude,Contralateral_Striatum_old,-0.44805827470265064,0.003306254118263665,41
stdspeed,Contralateral_Putamen_new,-0.3639143540092941,0.0033690894980856795,63
stdspeed,Contralateral_Striatum_new,-0.36331657351111074,0.003425649652281406,63
cvamplitude,Contralateral_Caudate_Z,-0.3622694378536883,0.0035267601154657757,63
stdrmsvelocity,Contralateral_Putamen_new,-0.3620650052189183,0.0035468059866102476,63
cvrmsvelocity,Contralateral_Putamen_Z,-0.36119635545260814,0.0036331140296291357,63
stdrmsvelocity,Contralateral_Striatum_new,-0.3610573371755044,0.003647098234847492,63
stdclosingspeed,Contralateral_Striatum_new,-0.3544936693222167,0.004364145666915469,63
stdclosingspeed,Contralateral_Putamen_new,-0.35371207670635135,0.004457332343203829,63
stdspeed,Contralateral_Caudate_new,-0.3516094123348932,0.004716808747792269,63
stdrmsvelocity,Contralateral_Caudate_new,-0.3506771834315178,0.004836052665475134,63
meancycleduration,Contralateral_Caudate_old,0.4215746567384153,0.004869540082067526,43
cvcycleduration,Contralateral_Caudate_new,-0.35021620273756454,0.004895994619979382,63
cvclosingspeed,Contralateral_Striatum_old,-0.42979974369427515,0.005039024694790107,41
cvclosingspeed,Contralateral_Putamen_Z,-0.3482326600302035,0.005161458355024804,63
stdclosingspeed,Contralateral_Caudate_new,-0.3406524475471579,0.006296428483380695,63
meanopeningspeed,Contralateral_Caudate_Z,0.3322120884704496,0.007812690438090306,63
cvspeed,Contralateral_Striatum_old,-0.40653285923832067,0.008350100868619533,41
cvamplitude,Contralateral_Striatum_Z,-0.326879618188743,0.008927220647725203,63
cvcycleduration,Contralateral_Striatum_new,-0.32056837699242385,0.010423081523214752,63
meanrmsvelocity,Contralateral_Caudate_Z,0.3148173782616768,0.011970851681628385,63
cvamplitude,Contralateral_Putamen_Z,-0.3078421955113695,0.014111326745628672,63
stdclosingspeed,Contralateral_Striatum_old,-0.38009196739820483,0.014234467890737455,41
stdclosingspeed,Contralateral_Caudate_old,-0.3710561169493548,0.01430009703728565,43
stdamplitude,Contralateral_Caudate_old,-0.3698327559689777,0.014649403755142744,43
cvopeningspeed,Contralateral_Caudate_Z,-0.30421679657956113,0.015348497333768214,63
meanspeed,Contralateral_Caudate_Z,0.3040387552506994,0.015411580102550103,63
cvamplitude,Contralateral_Caudate_old,-0.36487463165941736,0.01614018251058712,43
cvcycleduration,Contralateral_Putamen_new,-0.3012082798389411,0.016444751800065105,63
cvclosingspeed,Contralateral_Caudate_old,-0.3619338091196677,0.017083611195937615,43
cvopeningspeed,Contralateral_Caudate_new,-0.294058773251761,0.019322083972970035,63
cvcycleduration,Contralateral_Caudate_old,-0.35520262826688875,0.019419550194223683,43
