Kinematic Variable,Caudate_Z_corr,Caudate_Z_p,Caudate_Z_R2,Caudate_raw_corr,Caudate_raw_p,Caudate_raw_R2,Putamen_Z_corr,Putamen_Z_p,Putamen_Z_R2,Putamen_raw_corr,Putamen_raw_p,Putamen_raw_R2,Striatum_Z_corr,Striatum_Z_p,Striatum_Z_R2,Striatum_raw_corr,Striatum_raw_p,Striatum_raw_R2
stdamplitude,-0.4717423011996291,9.505512466682744e-05,0.2225407987411216,-0.5026629360080938,2.6907598269609504e-05,0.25267002723627696,-0.41974482383801714,0.0006158395470801974,0.17618571713880804,-0.4685017529783146,0.00010775428138980894,0.2194938925437537,-0.4377896698942768,0.0003329924535660571,0.19165979506613987,-0.4825092422790122,6.209575506072989e-05,0.2328151688846665
cvspeed,-0.4414207057259909,0.0002930133573413331,0.19485223944363186,-0.49066860531139034,4.4541232058952443e-05,0.24075568023822494,-0.37639831326774076,0.0023625921180924657,0.14167569023080032,-0.4450508766435032,0.0002574721326700705,0.1980702828011507,-0.40020058168139605,0.0011546305125259564,0.16016050557812775,-0.4631714365007235,0.0001320797983340483,0.21452777959014374
cvrmsvelocity,-0.4123057744021604,0.0007857976647844591,0.16999605160536516,-0.4285929633711486,0.0004574892386964469,0.18369192825126274,-0.36119635545260814,0.0036331140296291357,0.13046280719224684,-0.39434310602702943,0.001383889862712533,0.15550648527104496,-0.3793376768059512,0.0021688029608963677,0.1438970730445363,-0.4077177443701184,0.0009107329682599163,0.1662337590742572
cvclosingspeed,-0.4063673765927431,0.0009507789206699065,0.16513444475886827,-0.4622785340751331,0.0001366165496737453,0.21370144306665398,-0.3482326600302035,0.005161458355024804,0.12126598551171128,-0.4173257889965982,0.0006670400965875849,0.17416081416163323,-0.37085082759904825,0.0027708812015697086,0.137530336330899,-0.43702432747379655,0.00034202948875458676,0.19099026280392417
cvamplitude,-0.3622694378536883,0.0035267601154657757,0.13123914560282735,-0.4266697217706372,0.0004883585828480974,0.18204705147583297,-0.3078421955113695,0.014111326745628672,0.09476681733726024,-0.3850481262137869,0.0018324557092459068,0.1482620595007484,-0.326879618188743,0.008927220647725203,0.1068502847872184,-0.4022596309155081,0.00108256238110174,0.1618128106642808
stdrmsvelocity,-0.28276851489666965,0.024735783522262942,0.07995803301686809,-0.3506771834315178,0.004836052665475134,0.1229744869794624,-0.2854350504906305,0.023353484032722853,0.08147316804858878,-0.3620650052189183,0.0035468059866102476,0.13109106800417536,-0.2858257779309027,0.02315653535179479,0.0816963753298057,-0.3610573371755044,0.003647098234847492,0.13036240072826588
stdspeed,-0.26504463632156605,0.03579012175975213,0.0702486592428312,-0.3516094123348932,0.004716808747792269,0.12362917884248893,-0.2680384437504748,0.03367694919257774,0.07184460732817645,-0.3639143540092941,0.0033690894980856795,0.13243365705400184,-0.2690848508076607,0.032963333047442284,0.07240665693418102,-0.36331657351111074,0.003425649652281406,0.13199893258785433
stdclosingspeed,-0.24736047195742425,0.050637675617065905,0.06118720308699967,-0.3406524475471579,0.006296428483380695,0.11604409001986916,-0.2561814534447959,0.042701730511458605,0.06562893708908814,-0.35371207670635135,0.004457332343203829,0.12511223320791978,-0.2562146938742349,0.04267388874807217,0.0656459693570679,-0.3544936693222167,0.004364145666915469,0.12566576158952913
cvopeningspeed,-0.30421679657956113,0.015348497333768214,0.09254785932113008,-0.294058773251761,0.019322083972970035,0.08647056212633059,-0.24145803686336623,0.056591979490003844,0.05830198356591072,-0.24433962623307742,0.05361772900415652,0.05970185294771998,-0.2630421074067523,0.03726425866353365,0.06919115026898542,-0.26154559504996894,0.0383985062970116,0.06840609829004234
cvcycleduration,-0.26689217054828407,0.03447341042473898,0.07123143069997435,-0.35021620273756454,0.004895994619979382,0.12265138865991891,-0.2035621633576756,0.10956001260250374,0.041437554350857005,-0.3012082798389411,0.016444751800065105,0.09072642784353385,-0.22714241385082626,0.07341136043526539,0.05159367616998003,-0.32056837699242385,0.010423081523214752,0.10276408432755678
meanopeningspeed,0.3322120884704496,0.007812690438090306,0.11036487172589782,0.2813235640388741,0.025513272336556928,0.0791429476835345,0.23374527943539133,0.06521581354154676,0.05463685565832918,0.20073098286185645,0.1146919496629213,0.040292927480686906,0.26974860025853764,0.03251725343644895,0.07276430734144033,0.23056258974017887,0.06906926170703752,0.053159107787698036
stdcycleduration,-0.25971816265987846,0.03982222518800283,0.06745352401542308,-0.26989072855653307,0.032422392994877335,0.07284100536077621,-0.18816306925612125,0.1397244912114159,0.035405340631883886,-0.21571644062610992,0.08951448292277851,0.04653358275639801,-0.21505004064103903,0.09053307507441859,0.04624651997971253,-0.23509958892165733,0.06362941788605429,0.055271816711132266
meanrmsvelocity,0.3148173782616768,0.011970851681628385,0.09910998165555568,0.2258353257723938,0.07512719056399153,0.05100159436672323,0.23269295765875533,0.06647030165820471,0.0541460125439793,0.16008241898110792,0.21010693666391822,0.02562638086684298,0.26259825872214326,0.03759772490516448,0.06895784548390169,0.1839088656592397,0.14906574146414167,0.03382247086806827
velocitydecay,-0.2646540962664714,0.03607374254539416,0.07004179067062272,-0.17183616440498276,0.17809747840241186,0.029527667397416264,-0.2677621634378503,0.03386749864825711,0.07169657616891806,-0.1877390811285598,0.14063526645708965,0.03524596258299596,-0.26884605081790663,0.03312506538327929,0.07227819904038443,-0.1795482103018104,0.15911521001392068,0.03223755982258313
meanspeed,0.3040387552506994,0.015411580102550103,0.0924395646943947,0.21620503752270942,0.08877339700234926,0.046744618250196185,0.22164700111254343,0.0808411968846255,0.04912739310218383,0.1493158591872092,0.2428121519322609,0.02229522580481448,0.2517089302666924,0.046586798530954696,0.06335738557600261,0.17337905547565777,0.17417412713211666,0.030060296877631214
amplitudedecay,-0.2071098316697149,0.10338136354567336,0.042894482374257636,-0.20072886301227766,0.1146958601188991,0.04029207644620173,-0.19839964199556684,0.11905467908054194,0.03936241794396909,-0.19783613843997389,0.1201279752435762,0.03913913767284051,-0.202564769695233,0.11134734567667012,0.04103248592168278,-0.1982127117643233,0.11940990664121881,0.03928827910496671
meanamplitude,0.20115925698809398,0.11390401446788086,0.040465046672002035,0.25125065002608626,0.047000764301766744,0.06312688913853089,0.12835092746322485,0.3160985414010935,0.016473960580670008,0.18619203136619264,0.14399628240429563,0.034667472544269266,0.15373926046542996,0.2289766466270659,0.023635760208457316,0.21169526381557519,0.09579962385954327,0.044814884721945974
ratedecay,0.1362927036973046,0.28682763311363146,0.018575701081121266,0.2444567739476804,0.05349955999689661,0.05975911432890731,0.11879373387762081,0.3537688303061626,0.014111951208586994,0.22325147058702474,0.07861291517490573,0.04984121911926917,0.12362295741526767,0.33440104667812826,0.015282635600097084,0.23352877878147252,0.06547233920300496,0.05453569051916593
meanclosingspeed,0.23398784557363692,0.06492936437929221,0.054750311876192156,0.13991662793768966,0.27408411153274626,0.01957666277345388,0.1810589386948894,0.1555785493962052,0.03278233928131972,0.09822217912635521,0.4437612471629791,0.009647596472329809,0.20025397523106506,0.1155744599069704,0.04010165459584402,0.11285846083013945,0.37849839033270766,0.01273703218094812
rangecycleduration,0.10637684140249815,0.4066573605676774,0.011316032386772243,0.11117622674489187,0.3856917877149172,0.012360153393231611,0.17783613702703593,0.16319453223559952,0.0316256916326987,0.18313158474398764,0.15082154825618702,0.033537177330844326,0.15689478999391746,0.21944754777425737,0.02461597512723546,0.16155917859887386,0.20587613152901807,0.026101368189542822
stdopeningspeed,-0.11492142661786178,0.3697877614241172,0.013206934295884591,-0.13820286087343586,0.2800627618195961,0.019100030753602268,-0.12108569790599669,0.3444921941581601,0.01466174623738229,-0.14566461113732895,0.2546561147039554,0.021218178937789257,-0.11908161452788592,0.35259526518596,0.01418043091856801,-0.14345249622362846,0.2620193546654745,0.02057861867279014
meancycleduration,-0.21779084282428565,0.08640127946265448,0.0474328512181127,-0.052821795588308976,0.6809613868908662,0.0027901420891730975,-0.1742223372157727,0.1720565731241171,0.03035342278492642,-0.02491616298402398,0.8463045282440956,0.0006208151778464467,-0.19229277150384655,0.13108363176327598,0.036976509972630536,-0.03343737245858001,0.7947411262850974,0.0011180578769338049
rate,0.05863330021912893,0.6480584520816149,0.0034378638945865045,-0.07270470437643758,0.5712102167402225,0.005285974038465182,0.023307086334351478,0.8561208485158117,0.0005432202733969135,-0.10059534117263967,0.43277336928313975,0.010119422665639774,0.03466237802319521,0.787394307695881,0.0012014804502228863,-0.09349100382323118,0.4661236595852727,0.008740567795875427
